Product,ProductType,IH,CH,NT,PrecioAComprar
Acid - 20,Box 24,210.0,,,120.0
Acid - Kuba Kuba ,Box 24,115.0,,,66.0
Acid - Kuba Maduro,Box 24,182.0,,,104.0
Acid - Toast,Box 24,190.0,,,108.0
AJ Fernandez - Bella Artes Robusto Extra,Box 20,175.0,,,100.0
AJ Fernandez - Bellas Artes Gordo,Box 20,185.0,,,105.0
AJ Fernandez - Bellas Artes Maduro Lancero Limited Edition,Box 10 x 2,200.0,,,114.0
AJ Fernandez - Dias de Gloria Toro,Box 20,205.0,,,117.0
AJ Fernandez - Enclave Broadleaf Churchill,Box 20,160.0,,,91.0
AJ Fernandez - Last Call Corticas,Box 25,145.0,,,83.0
AJ Fernandez - Last Call Flaquitas,Box 25,155.0,,,88.0
AJ Fernandez - Last Call Maduro Geniales,Box 25,146.0,,,83.0
AJ Fernandez - Last Call Maduro Pequenas,Box 25,160.0,,,91.0
AJ Fernandez - New World Cameroon Churchill,Box 20,135.0,,,77.0
AJ Fernandez - New World Cameroon Short Robusto,Box 20,115.0,,,66.0
AJ Fernandez - New World Cameroon Torpedo,Box 20,108.0,,,62.0
AJ Fernandez - New World Connecticut Belicoso,Box 20,148.0,,,84.0
AJ Fernandez - San Lotano Oval Toro,Box 20,132.0,,,75.0
AJ Fernandez - San Lotano Requiem Connecticut Gran Toro,Box 20,177.0,,,101.0
AJ Fernandez - San Lotano Requiem Connecticut Torpedo,Box 20,145.0,,,83.0
AJ Fernandez - San Lotano Requiem Habano Robusto,Box 20,110.0,,,63.0
AJ Fernandez - San Lotano Requiem Habano Toro,Box 20,160.0,,,91.0
AJ Fernandez - San Lotano Requiem Maduro Gran Toro,Box 20,177.0,,,101.0
AJ Fernandez - San Lotano Requiem Maduro Robusto,Box 20,140.0,,,80.0
AJ Fernandez - San Lotano The Bull Gordo,Box 20,185.0,,,105.0
AJ Fernandez - San Lotano The Bull Robusto,Box 20,175.0,,,100.0
AJ Fernandez - Viva La Vida Club 500,Box 10,110.0,,,63.0
AJ Fernandez - Viva La Vida Diadema Finas LE,Box 10,150.0,,,86.0
AJ Fernandez - Viva La Vida Lancero,Box 10,150.0,,,86.0
AJ Fernandez - Viva La Vida Robusto,Box 20,205.0,,,117.0
Alec Bradley - Black Market Filthy Hooligan Barber Pole,Box 22,220.0,,,125.0
Alec Bradley - Fine and Rare HOF/506,Box 10,250.0,,,142.0
Alec Bradley - Mundial Punta Lanza No.4,Box 10,84.0,,,48.0
Alec Bradley - Mundial Punta Lanza No.7,Box 10,123.0,,,70.0
Alec Bradley - Mundial Punta Lanza No.8,Box 10,116.0,,,66.0
Alec Bradley - Nica Puro Diamond Rough Cut,Box 16,165.0,,,94.0
Alec Bradley - Prensado Lost Art Robusto,Box 20,170.0,,,97.0
Alec Bradley - Texas Lancero,Box 50,385.0,,,219.0
Avo - 90th Classic Covers Volume 3 2016,Box 18,325.0,,,185.0
Avo - Robusto Assortment With Avo Headphones,Box 8,95.0,,,54.0
Avo - XO Intermezzo,Box 20,200.0,,,114.0
Avo - XO Legato,Box 20,225.0,,,128.0
Avo - XO Maestoso,Box 20,225.0,,,128.0
Camacho - American Barrel Aged Toro,Box 20,275.0,,,156.0
Camacho - Corojo Monarca,Box 25,149.0,,,85.0
Camacho - Criollo Figurado,Box 20,210.0,,,120.0
Camacho - Liberty 2019 Throwback 2012,Box 20,400.0,,,227.0
Camacho - Powerband Gordo,Box 20,230.0,,,131.0
Camacho - Powerband Robusto,Box 20,205.0,,,117.0
Davidoff - 2013 Discontinued Special C Culebra Bundle,Box 3x3,255.0,,,145.0
Davidoff - Aniversario Double R,Box 25,800.0,,,454.0
Davidoff - Aniversario Entreacto,Box 20,205.0,,,117.0
Davidoff - Aniversario Short Perfecto,Box 25,390.0,,,222.0
Davidoff - Aniversario Special R Tubos ,Box 20,345.0,,,196.0
Davidoff - Aniversario Special T,Box 20,455.0,,,258.0
Davidoff - Classic Ambassadrice,Box 25,166.0,,,95.0
Davidoff - Grand Cru No.3,Box 25,410.0,,,233.0
Davidoff - Grand Cru Robusto,Box 25,480.0,,,272.0
Davidoff - Millennium Blend Robusto Tubos,Box 20,405.0,,,230.0
Davidoff - Millennium Petit Corona ,Box 25,235.0,,,134.0
Davidoff - Nicaragua Toro Box Press ,Davidoff - Nicaragua Toro Box Press ,223.0,,,127.0
Davidoff - Oro Blanco,Box 12,4000.0,,,2267.0
Davidoff - Special R Tubos,Box 4x2,411.0,,,233.0
Davidoff - Winston Churchill Limited Edition Toro 2021,Box 20,340.0,,,193.0
Davidoff - Winston Churchill Petit Corona ,Box 10,265.0,,,151.0
Davidoff - Winston Churchill The Late Hour Churchills,Box 20,105.0,,,60.0
Davidoff - Winston Churchill Toro ,Box 4,375.0,,,213.0
Davidoff - Yamasa Robusto Tubos,Box 14,177.0,,,101.0
Deadwood - Crazy Alice,Box 10,100.0,,,57.0
Deadwood - Leather Rose Torpedo,Box 24,195.0,,,111.0
Deadwood - Sweet Jane,Box 24,185.0,,,105.0
E.P. Carrillo - Capa De Sol Sultan,Box 20,200.0,,,114.0
E.P. Carrillo - Core Plus Natural Churchill Especial,Box 20,165.0,,,94.0
E.P. Carrillo - Dusk Solidos,Box 20,175.0,,,100.0
E.P. Carrillo - Encore Celestial ,Box 10 x 2,250.0,,,142.0
E.P. Carrillo - Encore El Primero,Box 10,140.0,,,80.0
E.P. Carrillo - INCH Limited Edition 2019,Box 10,150.0,,,86.0
E.P. Carrillo - La Historia E-III,Box 10,125.0,,,71.0
E.P. Carrillo - La Historia El Senador ,Box 10 x 2,220.0,,,125.0
E.P. Carrillo - New Wave Reserva Belicoso De Oro,Box 20,175.0,,,100.0
E.P. Carrillo - New Wave Reserva Robusto,Box 20,163.0,,,93.0
E.P. Carrillo - Seleccion Oscuro Piramides Royal,Box 20,172.0,,,98.0
Illusione - 2,Box 25,220.0,,,125.0
Illusione - 33,Box 14,89.0,,,51.0
Illusione - 4/2g,Box 25,277.0,,,157.0
Illusione - 88,Box 25,215.0,,,122.0
Illusione - 88 Candela,Box 25,205.0,,,117.0
Illusione - 88 Maduro,Box 25,211.0,,,120.0
Illusione - 888 Candela,Box 25,250.0,,,142.0
Illusione - 888 Maduro,Box 25,260.0,,,148.0
Illusione - f9,Box 25,265.0,,,151.0
Illusione - Fume D'amour Clementes,Box 25,235.0,,,134.0
Illusione - Haut 10 Churchill,Box 12,215.0,,,122.0
Illusione - Haut 10 Toro,Box 12,185.0,,,105.0
Illusione - HL,Box 25,275.0,,,156.0
Illusione - HL Candela,Box 25,240.0,,,137.0
Illusione - HL Maduro,Box 25,245.0,,,139.0
Illusione - La Grande Classe Rex Bundle,Box 25,115.0,,,66.0
Illusione - MK Corona,Box 25,220.0,,,125.0
Illusione - Signulare Kadosh,Box 30,245.0,,,139.0
Liga - Privada 9 Belicoso ,Box 24,330.0,,,188.0
Liga - Privada 9 Corona Doble,Box 24,360.0,,,205.0
Liga - Privada 9 Corona Viva,Box 24,285.0,,,162.0
Liga - Privada 9 Petit Corona,Box 24,232.0,,,132.0
Liga - Privada 9 Short Panatela,Box 24,220.0,,,125.0
Liga - Privada 9 Tasting Sampler,Box 5 x2,150.0,,,86.0
Liga - Privada 9 Toro ,Box 24,330.0,,,188.0
Liga - Privada T52 Corona Doble ,Box 24,380.0,,,216.0
Liga - Privada Unico Serie Dirty Rat,Box 12,180.0,,,103.0
Liga - Privada Unico Serie L40,Box 15,155.0,,,88.0
Liga - Privada Unico Serie Nasty Fritas,Box 50,310.0,,,176.0
Liga - Privada Unico Serie Papas Fritas,Box 28,150.0,,,86.0
Liga - Privada Unico Serie Papas Fritas ,Box 50,255.0,,,145.0
Liga - Privada Unico Serie Ratzilla,Box 10,150.0,,,86.0
Liga - Privada Unico Serie UF-13,Box 12,195.0,,,111.0
Liga - Privada Unico Serie Velvet Rat,Box 10,145.0,,,83.0
Liga - T52 Corona Viva,Box 24,285.0,,,162.0
Liga - T52 Robusto,Box 24,343.0,,,195.0
Liga - T52 Tasting Sampler,Box 5x3,240.0,,,137.0
Liga - UC10 Maduro Corona Doble ,Box 20,155.0,,,88.0
Liga - Undercrown Belicoso ,Box 25,192.0,,,109.0
Liga - Undercrown Limited Edition Flying Pig Collection,Box 3,35.0,,,20.0
Liga - Undercrown Maduro Churchill,Box 25,250.0,,,142.0
Liga - Undercrown Shade Flying Pig,Box 12,111.0,,,63.0
Liga - Undercrown Shady XX,Box 10,140.0,,,80.0
Liga - Undercrown Sun Grown Corona Doble,Box 25,260.0,,,148.0
Liga - Undercrown10 Maduro Corona Viva,Box 20,215.0,,,122.0
Oliva - Cain Daytona Limited Edition,Box 10,130.0,,,74.0
Oliva - Cain Daytona Robusto,Box 24,110.0,,,63.0
Oliva - Cain F 660,Box 25,205.0,,,117.0
Oliva - Nub 464 Sun Grown Torpedo,Box 25,188.0,,,107.0
Oliva - Serie V Melanio LE 2021 INTL ,Box 10,115.0,,,66.0
Oliva - Serie V Melanio Limited Edition Diadema 2019,Box 10,175.0,,,100.0
Oliva - Serie V Melanio Robusto Limited Edition 2018,Box 10,190.0,,,108.0
